relative_path,category,doi,doi_source,is_oa,oa_status,best_free_url,notes
Literature/WCPFC_ISC/ISC_22_BILLWG-02_02.pdf,rfmo_verify,,none,,,https://isc.fra.go.jp/pdf/BILL/ISC22_BILL_2/ISC_22_BILLWG-02_02.pdf,ISC working document; no do-not-cite notice found anywhere in the document.
Literature/WCPFC_ISC/ISC_22_BILLWG-02_06.pdf,rfmo_verify,,none,,,https://isc.fra.go.jp/pdf/BILL/ISC22_BILL_2/ISC_22_BILLWG-02_06.pdf,ISC working document; no do-not-cite notice found anywhere in the document.
Literature/WCPFC_ISC/ISC_22_BILLWG-02_07.pdf,rfmo_verify,,none,,,https://isc.fra.go.jp/pdf/BILL/ISC22_BILL_2/ISC_22_BILLWG-02_07.pdf,ISC working document; no do-not-cite notice found anywhere in the document.
Literature/WCPFC_ISC/ISC_22_PBFWG_1_01_Tsukahara.pdf,rfmo_verify,,none,,,https://isc.fra.go.jp/pdf/PBF/ISC22_PBF_1/ISC_22_PBFWG_1_01_Tsukahara.pdf,ISC working document; no do-not-cite notice found anywhere in the document.
Literature/WCPFC_ISC/ISC_22_PBFWG_1_02_Nishikawa.pdf,rfmo_verify,,none,,,https://isc.fra.go.jp/pdf/PBF/ISC22_PBF_1/ISC_22_PBFWG_1_02_Nishikawa.pdf,ISC working document; no do-not-cite notice found anywhere in the document.
Literature/WCPFC_ISC/ISC_22_SHARKWG_3_1.pdf,rfmo_verify,,none,,,https://isc.fra.go.jp/pdf/SHARK/ISC22_SHARK_3/ISC_22_SHARKWG_3_1.pdf,PAGE 1 NOTICE PRESENT: 'Working document submitted to the ISC ... Document not to be cited without author's permission.' Seek author permission before circulating.
Literature/WCPFC_ISC/ISC_23_SHARKWG-1-1.pdf,rfmo_verify,,none,,,https://isc.fra.go.jp/pdf/SHARK/ISC23_SHARK_1/ISC_23_SHARKWG-1-1.pdf,PAGE 1 NOTICE PRESENT: 'Working document submitted to the ISC ... Document not to be cited without author's permission.' Seek author permission before circulating.
Literature/WCPFC_ISC/ISC_23_SHARKWG-1-11.pdf,rfmo_verify,,none,,,https://isc.fra.go.jp/pdf/SHARK/ISC23_SHARK_1/ISC_23_SHARKWG-1-11.pdf,PAGE 1 NOTICE PRESENT: 'Working document submitted to the ISC ... Document not to be cited without author's permission.' Seek author permission before circulating.
Literature/WCPFC_ISC/ISC_23_SHARKWG-1-12.pdf,rfmo_verify,,none,,,https://isc.fra.go.jp/pdf/SHARK/ISC23_SHARK_1/ISC_23_SHARKWG-1-12.pdf,PAGE 1 NOTICE PRESENT: 'Working document submitted to the ISC ... Document not to be cited without author's permission.' Seek author permission before circulating.
Literature/WCPFC_ISC/ISC_23_SHARKWG-1-2.pdf,rfmo_verify,,none,,,https://isc.fra.go.jp/pdf/SHARK/ISC23_SHARK_1/ISC_23_SHARKWG-1-2.pdf,PAGE 1 NOTICE PRESENT: 'Working document submitted to the ISC ... Document not to be cited without author's permission.' Seek author permission before circulating.
Literature/WCPFC_ISC/ISC_23_SHARKWG-1-3.pdf,rfmo_verify,,none,,,https://isc.fra.go.jp/pdf/SHARK/ISC23_SHARK_1/ISC_23_SHARKWG-1-3.pdf,PAGE 1 NOTICE PRESENT: 'Working document submitted to the ISC ... Document not to be cited without author's permission.' Seek author permission before circulating.
Literature/WCPFC_ISC/ISC_23_SHARKWG-1-7.pdf,rfmo_verify,,none,,,https://isc.fra.go.jp/pdf/SHARK/ISC23_SHARK_1/ISC_23_SHARKWG-1-7.pdf,PAGE 1 NOTICE PRESENT: 'Working document submitted to the ISC ... Document not to be cited without author's permission.' Seek author permission before circulating.
Literature/WCPFC_ISC/ISC_25_BILLWG_1_01.pdf,rfmo_verify,,none,,,https://isc.fra.go.jp/pdf/BILL/ISC25_BILL_1/ISC_25_BILLWG_1_01.pdf,ISC working document; no do-not-cite notice found anywhere in the document.
Literature/WCPFC_ISC/ISC_25_BILLWG_1_03.pdf,rfmo_verify,,none,,,https://isc.fra.go.jp/pdf/BILL/ISC25_BILL_1/ISC_25_BILLWG_1_03.pdf,ISC working document; no do-not-cite notice found anywhere in the document.
Literature/WCPFC_ISC/ISC_25_BILLWG_1_07.pdf,rfmo_verify,,none,,,https://isc.fra.go.jp/pdf/BILL/ISC25_BILL_1/ISC_25_BILLWG_1_07.pdf,ISC working document; no do-not-cite notice found anywhere in the document.
Literature/WCPFC_SPC/SC16-SA-IP-07 CPUE of Pacific-wide operational LL dataset for BE and YF.pdf,rfmo_public,,none,,,,
Literature/WCPFC_SPC/SC19-SA-IP-13 Satoh_LL_gears.pdf,rfmo_public,,none,,,,
Literature/WCPFC_SPC/SC19-SA-WP-02 YFT_BET_stock assessment spatial structure paper_Final_jm2.pdf,rfmo_public,,none,,,,
Literature/WCPFC_SPC/SC19-SA-WP-03 YFT_BET_assesment_CPUE_Inputs_Finl_Rev1.pdf,rfmo_public,,none,,,,
Literature/WCPFC_SPC/SC20-SA-IP-05 SPALB_stock_assess_background_analyses_Teears et al.pdf,rfmo_public,,none,,,,
Literature/WCPFC_SPC/SC20-SA-IP-06-striped-marlin-inputs.pdf,rfmo_public,,none,,,,
Literature/WCPFC_SPC/SC20-SA-IP-17_Catch and CPUE of MLS sport fishery_0.pdf,rfmo_public,,none,,,,
Literature/WCPFC_SPC/SC20-SA-IP-18_Characterisation-CPUE-and-length-composition-analyses-of-NZ-albacore-tuna-fishery_0.pdf,rfmo_public,,none,,,,
Literature/WCPFC_SPC/SC20-SA-IP-19_IOTC-2024-WPTT26DP-16rev3_Effort_creep in tuna assessments_0.pdf,duplicate,,none,,,,Duplicate of: Literature/General/IOTC-2024-WPTT26DP-16rev3_-_Effort_creep.pdf
Literature/WCPFC_SPC/SC20-SA-WP-05 Project 122_LL_effort_creep_rev1.pdf,rfmo_public,,none,,,,
Literature/WCPFC_SPC/SC21-SA-IP-11_Characterisation-and-CPUE-for-SWO-NZ-SLL-1993-2023_0.pdf,rfmo_public,,none,,,,
Literature/WCPFC_SPC/SC21-SA-IP-12_KIM_SWO CPUE.pdf,rfmo_public,,none,,,,
Literature/WCPFC_SPC/SC21-SA-IP-13_SWO-MLS-Obs-CPUE_posted.pdf,rfmo_public,,none,,,,
Litx/Exported Items/Exported Items.ris,excluded,,none,,,,Not a reference item (the Zotero export file itself).
Litx/Exported Items/files/31070/Matsumoto et al 2025 BET joint SCRS_2025_084.pdf,duplicate,,none,,,,Duplicate of: Literature/ICCAT/BET/Matsumoto et al 2025 BET joint SCRS_2025_084.pdf
"Litx/Exported Items/files/31071/Lauretta - STANDARDIZED CATCH INDICES OF SKIJACK TUNA, KATSUWONUS PELAMIS, FROM THE UNITED STATES PELAGIC LONGL.pdf",duplicate,,none,,,,Duplicate of: Literature/ICCAT/Lauretta 2021 SKJ US CV079010318.pdf
Litx/Exported Items/files/31072/Lauretta - U.S. PELAGIC LONGLINE INDICES OF ABUNDANCE OF WHITE MARLIN AND SPEARFISH (TETRAPTURUS SPP.).pdf,duplicate,,none,,,,Duplicate of: Literature/ICCAT/Lauretta 2025 White marlin & spearfish USA CV082030053.pdf
Litx/Exported Items/files/31075/Satoh et al. - STANDARDIZED YELLOWFIN TUNA CPUE OF THE MULTIPLE LONGLINE FLEETS BY VECTOR AUTOREGRESSIVE SPATIOTEMP.pdf,duplicate,,none,,,,Duplicate of: Literature/ICCAT/YFT/Satoh et al 2024 YFT joint STM CV08102034.pdf
Litx/Exported Items/files/31076/Hoyle et al. - COLLABORATIVE STUDY OF YELLOWFIN TUNA CPUE FROM MULTIPLE ATLANTIC OCEAN LONGLINE FLEETS IN 2019.pdf,duplicate,,none,,,,Duplicate of: Literature/ICCAT/YFT/Hoyle et al 2019 YFT joint CV076060241.pdf
Litx/Exported Items/files/31077/Matsumoto et al. - STANDARDIZATION OF YELLOWFIN TUNA CPUE IN THE ATLANTIC OCEAN BY THE JAPANESE LONGLINE FISHERY WHICH.pdf,duplicate,,none,,,,Duplicate of: Literature/ICCAT/YFT/Matsumoto et al 2020 YFT JP CV076060640.pdf
Litx/Exported Items/files/31078/Matsumoto et al. - COLLABORATIVE STUDY OF YELLOWFIN TUNA CPUE FROM MULTIPLE ATLANTIC OCEAN LONGLINE FLEETS IN 2024.pdf,duplicate,,none,,,,Duplicate of: Literature/ICCAT/YFT/Matsumoto_et_al 2024 YFT joint GLM SCRS_2024_036_.pdf
Litx/Exported Items/files/31083/Su et al. - CATCH PER UNIT EFFORT STANDARDIZATION OF SWORDFISH (XIPHIAS GLADIUS) FOR THE CHINESE TAIPEI TUNA LON.pdf,duplicate,,none,,,,Duplicate of: Literature/ICCAT/SWO/Su et al 2022 SWO TWN south CV079020235.pdf
Litx/Exported Items/files/31084/Coelho et al. - STANDARDIZED CPUE FOR SWORDFISH CAPTURED BY THE PORTUGUESE PELAGIC LONGLINE FISHERY IN THE NORTH ATL.pdf,duplicate,,none,,,,Duplicate of: Literature/ICCAT/SWO/Coelho et al 2022 SWO Portugal CV079020265.pdf
Litx/Exported Items/files/31085/Gillespie et al. - UPDATED COMBINED BIOMASS INDEX OF ABUNDANCE OF THE NORTH ATLANTIC SWORDFISH STOCK 1963-2020.pdf,duplicate,,none,,,,Duplicate of: Literature/ICCAT/SWO/Gillespie et al 2022 SWO joint CV079020565.pdf
Litx/Exported Items/files/31086/Hanke and Gilespie - A RELATIVE INDEX OF ATLANTIC SWORDFISH ABUNDANCE BASED ON CANADIAN PELAGIC LONGLINE DATA (1962 TO 20.pdf,duplicate,,none,,,,Duplicate of: Literature/ICCAT/SWO/Hanke & Gilespie 2022 SWO Canada CV079020186.pdf
Litx/Exported Items/files/31087/Iijima - CPUE STANDARDIZATION FOR ATLANTIC SWORDFISH CAUGHT BY JAPANESE LONGLINE FISHERY THE GLMM ANALISIS U.pdf,duplicate,,none,,,,Duplicate of: Literature/ICCAT/SWO/Ijima 2022 SWO JP CV079020156.pdf
Litx/Exported Items/files/31088/Ikkiss et al. - UPDATED STANDARDIZED CATCH RATE OF SWORDFISH (XIPHIAS GLADIUS) FROM THE MOROCCAN LONGLINE FISHERY OP.pdf,duplicate,,none,,,,Duplicate of: Literature/ICCAT/SWO/Ikkiss et al 2022 SWO Morocco CV079020325.pdf
"Litx/Exported Items/files/31089/Lauretta - STANDARDIZED CATCH INDICES OF ATLANTIC SWORDFISH, XIPHIAS GLADIUS, FROM THE UNITED STATES PELAGIC LO.pdf",duplicate,,none,,,,Duplicate of: Literature/ICCAT/SWO/Lauretta 2022 SWO USA obs CV079020300.pdf
Litx/Exported Items/files/31090/Mourato et al. - CATCH RATES OF SWORDFISH FROM BRAZILIAN LONGLINE FISHERIES IN THE SOUTH ATLANTIC (1994-2020).pdf,duplicate,,none,,,,Duplicate of: Literature/ICCAT/SWO/Mourato et al 2022 SWO Brazil CV079020335.pdf
Litx/Exported Items/files/31091/Parker - STANDARDISED CATCH RATES OF SWORDFISH (XIPHIAS GLADIUS) FOR THE SOUTH AFRICAN PELAGIC LONGLINE FISHE.pdf,duplicate,,none,,,,Duplicate of: Literature/ICCAT/SWO/Parker 2022 SWO SthAfrica CV079020211.pdf
Litx/Exported Items/files/31092/Su et al. - DEVELOPING ABUNDANCE INDEX OF SWORDFISH (XIPHIAS GLADIUS) WITH CONSIDERATION OF TARGETING SHIFT FOR.pdf,duplicate,,none,,,,Duplicate of: Literature/ICCAT/SWO/Su et al 2022 SWO TWN CV079020225.pdf
Litx/Exported Items/files/31103/Su and Huang - CPUE STANDARDIZATION FOR SAILFISH (ISTIOPHORUS PLATYPTERUS) CAUGHT IN THE CHINESE TAIPEI TUNA LONGLI.pdf,duplicate,,none,,,,Duplicate of: Literature/ICCAT/Sailfish/Su & Huang 2023 Sailfish TWN CV080080259.pdf
Litx/Exported Items/files/31104/Arocha et al. - STANDARDIZED CATCH RATES AND SIZE DISTRIBUTION FOR ATLANTIC SAILFISH FROM THE VENEZUELAN PELAGIC LON.pdf,duplicate,,none,,,,Duplicate of: Literature/ICCAT/Sailfish/Arocha et al 2023 Sail Venezuela CV080080178.pdf
Litx/Exported Items/files/31105/Coelho et al. - UPDATED STANDARDIZATION OF ATLANTIC SAILFISH (ISTIOPHORUS ALBICANS) CATCH RATES IN THE EAST ATLANTIC.pdf,duplicate,,none,,,,Duplicate of: Literature/ICCAT/Sailfish/Coelho et al 2023 Sailfish Portugal CV080080204.pdf
Litx/Exported Items/files/31106/Kai - SPATIO-TEMPORAL MODEL FOR CPUE STANDARDIZATION APPLICATION TO EASTERN ATLANTIC SAILFISH CAUGHT BY J.pdf,duplicate,,none,,,,Duplicate of: Literature/ICCAT/Sailfish/Kai 2023 Sailfish JP CV080080284.pdf
Litx/Exported Items/files/31107/Lauretta - U.S. PELAGIC LONGLINE STANDARDIZED INDICES OF SAILFISH (ISTIOPHORUS ALBICANS) RELATIVE ABUNDANCE.pdf,duplicate,,none,,,,Duplicate of: Literature/ICCAT/Sailfish/Lauretta 2023 Sailfish USA CV080080244.pdf
"Litx/Exported Items/files/31108/Mourato et al. - 2014 - Short-term movements and habitat preferences of sailfish, Istiophorus platypterus (Istiophoridae), a.pdf",duplicate,,none,,,,"ZOTERO METADATA MISMATCH - the one RIS record carrying a DOI. The RIS claims Mourato et al. 2014, Neotropical Ichthyology, DOI 10.1590/1982-0224-20130102. The attached PDF is actually CATCH RATES OF SAILFISH FROM BRAZILIAN LONGLINE FISHERIES IN THE WESTERN ATLANTIC (1991-2022), SCRS/2023/092, Collect. Vol. Sci. Pap. ICCAT 80(8): 226-235, byte-identical to the ICCAT/Sailfish copy. The RIS DOI was NOT used. The 2014 journal article is not in this folder. Duplicate of: Literature/ICCAT/Sailfish/Mourato et al 2023 Sailfish Brazil CV080080226.pdf"
Litx/Exported Items/files/31109/Ramos-Cartelle et al. - UPDATE THE STANDARDIZED CATCH RATES OF SAILFISH (ISTIOPHORUS ALBICANS) CAUGHT AS BYCATCH OF THE SPAN.pdf,duplicate,,none,,,,Duplicate of: Literature/ICCAT/Sailfish/Ramos-Cartelle et al 2023 Sailfish Spain.pdf
Litx/Exported Items/files/31117/Lauretta et al. - BLUE MARLIN (MAKAIRA NIGRICANS) STANDARDIZED INDICES OF ABUNDANCE FROM THE U.S. PELAGIC LONGLINE AND.pdf,duplicate,,none,,,,Duplicate of: Literature/ICCAT/BUM/Lauretta et al 2024 BUM USA CV08101029.pdf
Litx/Exported Items/files/31119/Tsukahara et al. - THE STANDARDIZED CPUE FOR JAPANESE LONGLINE FISHERY IN THE ATLANTIC UP TO 2021 FISHING YEAR.pdf,duplicate,,none,,,,Duplicate of: Literature/ICCAT/BFT/Tsukahara et al 2022 BFT JP CV079030245.pdf
Litx/Exported Items/files/31120/Lauretta et al. - MULTINATIONAL PELAGIC LONGLINE INDEX OF BLUEFIN TUNA RELATIVE ABUNDANCE IN THE GULF OF MEXICO.pdf,duplicate,,none,,,,Duplicate of: Literature/ICCAT/BFT/Lauretta et al 2020 BFT joint CV078030366.pdf
Litx/Exported Items/files/31121/Tsukahara et al. - THE STANDARDIZED BLUEFIN CPUE OF JAPANESE LONGLINE FISHERY IN THE WEST ATLANTIC UP TO 2020 FISHING Y.pdf,duplicate,,none,,,,Duplicate of: Literature/ICCAT/BFT/Tsukahara et al 2021 BFT JP CV078030454.pdf
Litx/Exported Items/files/31125/Matsumoto et al. - STANDARDIZATION OF BIGEYE TUNA CPUE IN THE ATLANTIC OCEAN BY THE JAPANESE LONGLINE FISHERY WHICH INC.pdf,duplicate,,none,,,,Duplicate of: Literature/ICCAT/BET/Matsumoto et al 2019 BET JP CV075072098.pdf
Litx/Exported Items/files/31126/Hoyle et al. - COLLABORATIVE STUDY OF BIGEYE TUNA CPUE FROM MULTIPLE ATLANTIC OCEAN LONGLINE FLEETS IN 2018.pdf,duplicate,,none,,,,Duplicate of: Literature/ICCAT/BET/Hoyle et al 2019 BET joint CV075072033.pdf
Litx/Exported Items/files/31129/Su and Huang - REGIONALLY INFORMED ABUNDANCE INDICES OF ALBACORE TUNA IN THE NORTH ATLANTIC OCEAN FOR THE CHINESE T.pdf,duplicate,,none,,,,Duplicate of: Literature/ICCAT/ALB/Su et al 2023 ALB TWN CV080030134.pdf
"Litx/Exported Items/files/31130/Lauretta - STANDARDIZED INDICES OF ALBACORE, THUNNUS ALALUNGA, FROM THE UNITED STATES PELAGIC LONGLINE FISHERY.pdf",duplicate,,none,,,,Duplicate of: Literature/ICCAT/ALB/Lauretta 2023 ALB USA CV080030145.pdf
Litx/Exported Items/files/31131/Matsumoto - REVIEW OF JAPANESE LONGLINE FISHERY AND ITS ALBACORE CATCH IN THE NORTH ATLANTIC OCEAN.pdf,duplicate,,none,,,,Duplicate of: Literature/ICCAT/ALB/Matsumoto 2023 ALB JP CV080030070.pdf
Litx/Exported Items/files/31132/Matsumoto et al. - STANDARDIZED CPUE FOR NORTH ATLANTIC ALBACORE BY THE JAPANESE LONGLINE FISHERY.pdf,duplicate,,none,,,,Duplicate of: Literature/ICCAT/ALB/Matsumoto et al 2023 ALB JP CV080030083.pdf
